"customer_id","lifetime_days","tenure_days","recency_days","frequency","monetary_usd","avg_order_value","avg_days_between_orders","order_count_last_30d","order_count_last_60d","value_segment","lifecycle_segment","is_churned"
12412,169,95,74,3,108702.00,36234.00,48,0,0,Mid-value,At-risk,0
12413,337,271,66,5,66499.00,13299.80,68,0,0,Mid-value,At-risk,0
12414,310,93,217,3,39825.00,13275.00,47,0,0,Mid-value,Churned,1
12415,337,313,24,26,12144269.00,467087.27,13,2,6,High-value,Loyal,0
12417,357,354,3,12,294430.00,24535.83,32,2,3,High-value,Loyal,0
12418,112,0,112,1,53088.00,53088.00,,0,0,Mid-value,Churned,1
12420,63,0,63,1,60039.00,60039.00,,0,0,Mid-value,New,0
12421,319,304,15,5,60215.00,12043.00,76,1,1,Mid-value,Loyal,0
12422,324,229,95,3,67531.00,22510.33,115,0,0,Mid-value,Churned,1
12423,353,353,0,9,154707.00,17189.67,44,1,1,High-value,Loyal,0
12424,162,0,162,2,173828.00,86914.00,0,0,0,High-value,Churned,1
12425,78,0,78,1,73922.00,73922.00,,0,0,Mid-value,New,0
12426,194,0,194,1,48652.00,48652.00,,0,0,Mid-value,Churned,1
12427,371,360,11,5,45781.00,9156.20,90,2,3,Mid-value,Loyal,0
12428,283,258,25,12,619492.00,51624.33,23,1,1,High-value,Loyal,0
12429,365,356,9,4,325198.00,81299.50,119,1,1,High-value,Loyal,0
12430,43,0,43,1,19412.00,19412.00,,0,1,Low-value,New,0
12431,373,338,35,18,598880.00,33271.11,20,0,2,High-value,At-risk,0
12432,172,130,42,5,390210.00,78042.00,33,0,2,High-value,At-risk,0
12433,373,373,0,7,1268773.00,181253.29,62,3,4,High-value,Loyal,0
12434,360,276,84,4,74629.00,18657.25,92,0,0,Mid-value,At-risk,0
12435,267,188,79,2,742165.00,371082.50,188,0,0,High-value,At-risk,0
12436,99,0,99,1,41847.00,41847.00,,0,0,Mid-value,Churned,1
12437,331,330,1,19,424677.00,22351.42,18,3,6,High-value,Loyal,0
12438,140,126,14,2,223887.00,111943.50,126,1,1,High-value,Loyal,0
12441,366,0,366,1,15573.00,15573.00,,0,0,Low-value,Churned,1
12442,3,0,3,1,14434.00,14434.00,,1,1,Low-value,New,0
12444,171,150,21,5,339662.00,67932.40,38,1,2,High-value,Loyal,0
12445,22,0,22,1,7796.00,7796.00,,1,1,Low-value,New,0
12446,57,0,57,1,93013.00,93013.00,,0,1,Mid-value,New,0
12447,243,0,243,1,43194.00,43194.00,,0,0,Mid-value,Churned,1
12448,44,0,44,1,29060.00,29060.00,,0,1,Low-value,New,0
12449,187,165,22,4,284446.00,71111.50,55,1,1,High-value,Loyal,0
12450,173,17,156,2,19788.00,9894.00,17,0,0,Low-value,Churned,1
12451,324,314,10,6,858594.00,143099.00,63,2,2,High-value,Loyal,0
12452,16,0,16,3,32273.00,10757.67,0,3,3,Mid-value,New,0
12453,134,0,134,1,70709.00,70709.00,,0,0,Mid-value,Churned,1
12454,56,3,53,2,0.00,0.00,3,0,2,Low-value,New,0
12455,296,223,73,6,218921.00,36486.83,45,0,0,High-value,At-risk,0
12456,254,210,44,4,242417.00,60604.25,70,0,1,High-value,At-risk,0
12457,239,181,58,12,158568.00,13214.00,16,0,1,High-value,At-risk,0
12458,284,213,71,2,72042.00,36021.00,213,0,0,Mid-value,At-risk,0
12461,154,60,94,2,61358.00,30679.00,60,0,0,Mid-value,Churned,1
12462,303,301,2,4,87075.00,21768.75,100,2,2,Mid-value,Loyal,0
12463,241,195,46,7,116701.00,16671.57,33,0,2,Mid-value,At-risk,0
12464,309,299,10,8,83720.00,10465.00,43,2,2,Mid-value,Loyal,0
12465,169,162,7,3,61779.00,20593.00,81,2,2,Mid-value,Loyal,0
12468,316,173,143,3,65276.00,21758.67,87,0,0,Mid-value,Churned,1
12471,372,370,2,49,1603855.00,32731.73,8,7,11,High-value,Loyal,0
12472,373,343,30,13,525577.00,40429.00,29,1,4,High-value,Loyal,0
12473,191,162,29,9,256575.00,28508.33,20,4,5,High-value,Loyal,0
12474,368,351,17,30,630634.00,21021.13,12,3,8,High-value,Loyal,0
12475,53,0,53,1,66992.00,66992.00,,0,1,Mid-value,New,0
12476,361,360,1,20,509578.00,25478.90,19,4,6,High-value,Loyal,0
12477,311,289,22,9,1250978.00,138997.56,36,1,2,High-value,Loyal,0
12478,3,0,3,1,50540.00,50540.00,,1,1,Mid-value,New,0
12479,11,8,3,3,40854.00,13618.00,4,3,3,Mid-value,New,0
12480,336,308,28,4,282668.00,70667.00,103,1,1,High-value,Loyal,0
12481,365,343,22,11,468453.00,42586.64,34,1,1,High-value,Loyal,0
12483,339,322,17,13,154692.00,11899.38,27,2,4,High-value,Loyal,0
12484,336,304,32,8,372046.00,46505.75,43,0,2,High-value,At-risk,0
12488,75,66,9,3,115448.00,38482.67,33,1,2,Mid-value,Active,0
12489,336,0,336,1,27661.00,27661.00,,0,0,Low-value,Churned,1
12490,329,324,5,10,472169.00,47216.90,36,3,4,High-value,Loyal,0
12491,38,0,38,1,41342.00,41342.00,,0,1,Mid-value,New,0
12492,105,42,63,2,22757.00,11378.50,42,0,0,Low-value,At-risk,0
12493,197,32,165,3,36333.00,12111.00,16,0,0,Mid-value,Churned,1
12494,365,356,9,13,88906.00,6838.92,30,2,3,Mid-value,Loyal,0
12497,81,0,81,1,95400.00,95400.00,,0,0,Mid-value,New,0
12498,57,36,21,3,35024.00,11674.67,18,2,3,Mid-value,Active,0
12500,333,310,23,13,343956.00,26458.15,26,1,5,High-value,Loyal,0
12501,336,21,315,2,185433.00,92716.50,21,0,0,High-value,Churned,1
12502,309,214,95,5,275808.00,55161.60,54,0,0,High-value,Churned,1
12503,337,0,337,1,-1126.00,-1126.00,,0,0,Low-value,Churned,1
12504,30,12,18,4,6054.00,1513.50,4,4,4,Low-value,New,0
12505,301,0,301,1,-45.00,-45.00,,0,0,Low-value,Churned,1
12506,232,0,232,1,7161.00,7161.00,,0,0,Low-value,Churned,1
12507,298,164,134,4,91786.00,22946.50,55,0,0,Mid-value,Churned,1
12508,29,3,26,2,38654.00,19327.00,3,2,2,Mid-value,New,0
12509,284,0,284,1,12808.00,12808.00,,0,0,Low-value,Churned,1
12510,325,183,142,2,81625.00,40812.50,183,0,0,Mid-value,Churned,1
12512,66,0,66,2,13218.00,6609.00,0,0,0,Low-value,New,0
12513,112,28,84,2,53333.00,26666.50,28,0,0,Mid-value,New,0
12514,267,0,267,1,99500.00,99500.00,,0,0,Mid-value,Churned,1
12515,353,0,353,1,26445.00,26445.00,,0,0,Low-value,Churned,1
12516,180,103,77,2,118732.00,59366.00,103,0,0,Mid-value,At-risk,0
12517,190,162,28,6,210273.00,35045.50,32,3,3,High-value,Loyal,0
12518,110,110,0,5,171777.00,34355.40,28,2,3,High-value,Loyal,0
12519,63,0,63,1,24678.00,24678.00,,0,0,Low-value,New,0
12520,273,194,79,6,223502.00,37250.33,39,0,0,High-value,At-risk,0
12521,142,0,142,1,53200.00,53200.00,,0,0,Mid-value,Churned,1
12522,51,12,39,2,15708.00,7854.00,12,0,2,Low-value,New,0
12523,331,330,1,13,154604.00,11892.62,28,2,4,High-value,Loyal,0
12524,333,324,9,8,335577.00,41947.13,46,1,1,High-value,Loyal,0
12526,94,94,0,3,114026.00,38008.67,47,1,2,Mid-value,Loyal,0
12527,325,244,81,3,18689.00,6229.67,122,0,0,Low-value,At-risk,0
12528,312,303,9,8,158388.00,19798.50,43,1,1,High-value,Loyal,0
12530,336,277,59,5,146325.00,29265.00,69,0,1,High-value,At-risk,0
12531,14,0,14,1,11577.00,11577.00,,1,1,Low-value,New,0
12532,30,0,30,1,23481.00,23481.00,,1,1,Low-value,New,0
12534,130,0,130,1,98226.00,98226.00,,0,0,Mid-value,Churned,1
12535,186,95,91,2,67045.00,33522.50,95,0,0,Mid-value,Churned,1
12536,59,52,7,5,392880.00,78576.00,13,1,5,High-value,Active,0
12538,29,0,29,1,35261.00,35261.00,,1,1,Mid-value,New,0
12539,333,311,22,5,347018.00,69403.60,78,1,1,High-value,Loyal,0
12540,361,342,19,19,1106750.00,58250.00,19,1,3,High-value,Loyal,0
12541,280,251,29,3,79929.00,26643.00,126,1,1,Mid-value,Loyal,0
12544,36,7,29,2,28892.00,14446.00,7,1,2,Low-value,New,0
12545,259,184,75,2,79213.00,39606.50,184,0,0,Mid-value,At-risk,0
12546,77,31,46,3,85548.00,28516.00,16,0,1,Mid-value,At-risk,0
12547,280,83,197,2,15236.00,7618.00,83,0,0,Low-value,Churned,1
12548,166,0,166,1,6748.00,6748.00,,0,0,Low-value,Churned,1
12550,79,0,79,1,81489.00,81489.00,,0,0,Mid-value,New,0
12551,357,0,357,1,16800.00,16800.00,,0,0,Low-value,Churned,1
12552,39,1,38,2,30372.00,15186.00,1,0,2,Low-value,New,0
12553,329,321,8,14,304007.00,21714.79,25,3,4,High-value,Loyal,0
12556,151,101,50,2,58075.00,29037.50,101,0,1,Mid-value,At-risk,0
12557,371,355,16,5,1199096.00,239819.20,89,1,1,High-value,Loyal,0
12558,7,6,1,2,0.00,0.00,6,2,2,Low-value,New,0
12559,319,9,310,3,39455.00,13151.67,5,0,0,Mid-value,Churned,1
12560,143,138,5,4,173599.00,43399.75,46,1,1,High-value,Loyal,0
12561,302,0,302,1,22751.00,22751.00,,0,0,Low-value,Churned,1
12562,198,190,8,7,325200.00,46457.14,32,2,3,High-value,Loyal,0
12564,261,0,261,1,40344.00,40344.00,,0,0,Mid-value,Churned,1
12565,288,7,281,2,13117.00,6558.50,7,0,0,Low-value,Churned,1
12566,86,14,72,2,27794.00,13897.00,14,0,0,Low-value,New,0
12567,369,347,22,11,796438.00,72403.45,35,1,1,High-value,Loyal,0
12569,252,250,2,35,281057.00,8030.20,7,11,16,High-value,Loyal,0
12571,121,82,39,2,51961.00,25980.50,82,0,1,Mid-value,At-risk,0
12572,51,43,8,3,88025.00,29341.67,22,1,3,Mid-value,Active,0
12573,227,0,227,1,14920.00,14920.00,,0,0,Low-value,Churned,1
12574,315,0,315,1,18281.00,18281.00,,0,0,Low-value,Churned,1
12576,304,269,35,6,122760.00,20460.00,54,0,1,High-value,At-risk,0
12577,359,324,35,4,56015.00,14003.75,108,0,3,Mid-value,At-risk,0
12578,338,317,21,4,219707.00,54926.75,106,1,1,High-value,Loyal,0
12579,78,5,73,3,37508.00,12502.67,3,0,0,Mid-value,New,0
12580,246,0,246,1,38006.00,38006.00,,0,0,Mid-value,Churned,1
12581,39,0,39,1,17989.00,17989.00,,0,1,Low-value,New,0
12582,288,50,238,2,35296.00,17648.00,50,0,0,Mid-value,Churned,1
12583,373,371,2,18,656634.00,36479.67,22,2,5,High-value,Loyal,0
12584,280,277,3,18,168839.00,9379.94,16,5,8,High-value,Loyal,0
12585,351,117,234,4,163577.00,40894.25,39,0,0,High-value,Churned,1
12586,368,351,17,2,18588.00,9294.00,351,1,1,Low-value,Loyal,0
12587,7,0,7,1,10440.00,10440.00,,1,1,Low-value,New,0
12588,39,0,39,1,16000.00,16000.00,,0,1,Low-value,New,0
12589,144,116,28,2,50682.00,25341.00,116,1,1,Mid-value,Loyal,0
12590,211,21,190,3,889001.00,296333.67,11,0,0,High-value,Churned,1
12591,317,0,317,1,35835.00,35835.00,,0,0,Mid-value,Churned,1
12592,213,121,92,2,40196.00,20098.00,121,0,0,Mid-value,Churned,1
12593,218,110,108,3,36356.00,12118.67,55,0,0,Mid-value,Churned,1
12594,322,285,37,11,280488.00,25498.91,29,0,2,High-value,At-risk,0
12596,242,191,51,2,42531.00,21265.50,191,0,1,Mid-value,At-risk,0
12597,268,249,19,5,293559.00,58711.80,62,1,3,High-value,Loyal,0
12598,284,275,9,9,271288.00,30143.11,34,3,3,High-value,Loyal,0
12599,304,275,29,7,85600.00,12228.57,46,1,1,Mid-value,Loyal,0
12600,371,343,28,11,231374.00,21034.00,34,1,1,High-value,Loyal,0
12601,332,143,189,6,39055.00,6509.17,29,0,0,Mid-value,Churned,1
12602,58,0,58,1,15312.00,15312.00,,0,1,Low-value,New,0
12603,21,0,21,1,61446.00,61446.00,,1,1,Mid-value,New,0
12604,261,182,79,2,22502.00,11251.00,182,0,0,Low-value,At-risk,0
12605,365,0,365,1,-372.00,-372.00,,0,0,Low-value,Churned,1
12607,60,2,58,2,0.00,0.00,2,0,2,Low-value,New,0
12609,318,240,78,3,94379.00,31459.67,120,0,0,Mid-value,At-risk,0
12610,126,104,22,7,162455.00,23207.86,17,2,4,High-value,Loyal,0
12611,52,0,52,1,106012.00,106012.00,,0,1,Mid-value,New,0
12612,74,17,57,2,51291.00,25645.50,17,0,1,Mid-value,New,0
12613,262,231,31,6,284476.00,47412.67,46,0,2,High-value,At-risk,0
12614,277,0,277,1,31560.00,31560.00,,0,0,Mid-value,Churned,1
12615,168,166,2,4,204549.00,51137.25,55,1,2,High-value,Loyal,0
12616,297,212,85,5,57463.00,11492.60,53,0,0,Mid-value,At-risk,0
12617,29,0,29,1,34353.00,34353.00,,1,1,Mid-value,New,0
12618,21,0,21,1,13771.00,13771.00,,1,1,Low-value,New,0
12619,253,237,16,13,282403.00,21723.31,20,2,3,High-value,Loyal,0
12620,204,190,14,3,127920.00,42640.00,95,1,1,High-value,Loyal,0
12621,365,364,1,23,1187219.00,51618.22,17,2,3,High-value,Loyal,0
12622,232,0,232,1,16228.00,16228.00,,0,0,Low-value,Churned,1
12623,276,0,276,1,26946.00,26946.00,,0,0,Low-value,Churned,1
12624,177,71,106,2,56985.00,28492.50,71,0,0,Mid-value,Churned,1
12625,319,108,211,3,235350.00,78450.00,54,0,0,High-value,Churned,1
12626,326,303,23,13,535533.00,41194.85,25,1,2,High-value,Loyal,0
12627,140,130,10,7,403735.00,57676.43,22,1,1,High-value,Loyal,0
12628,64,60,4,4,70085.00,17521.25,20,2,3,Mid-value,Active,0
12630,43,34,9,2,102194.00,51097.00,34,1,2,Mid-value,Active,0
12631,57,0,57,1,40956.00,40956.00,,0,1,Mid-value,New,0
12633,287,229,58,5,188233.00,37646.60,57,0,1,High-value,At-risk,0
12635,154,65,89,2,148434.00,74217.00,65,0,0,High-value,At-risk,0
12637,323,256,67,10,568135.00,56813.50,28,0,0,High-value,At-risk,0
12638,33,0,33,1,49439.00,49439.00,,0,1,Mid-value,New,0
12639,238,0,238,1,29926.00,29926.00,,0,0,Low-value,Churned,1
12640,81,58,23,3,78443.00,26147.67,29,2,2,Mid-value,Active,0
12641,115,0,115,1,12155.00,12155.00,,0,0,Low-value,Churned,1
12642,107,82,25,3,84946.00,28315.33,41,1,2,Mid-value,Active,0
12643,332,204,128,6,304467.00,50744.50,41,0,0,High-value,Churned,1
12644,129,0,129,1,44731.00,44731.00,,0,0,Mid-value,Churned,1
12645,316,283,33,5,154478.00,30895.60,71,0,1,High-value,At-risk,0
12646,49,45,4,2,134697.00,67348.50,45,1,2,High-value,Active,0
12647,369,347,22,13,247913.00,19070.23,29,1,1,High-value,Loyal,0
12648,154,0,154,1,30023.00,30023.00,,0,0,Low-value,Churned,1
12649,365,258,107,4,52757.00,13189.25,86,0,0,Mid-value,Churned,1
12650,3,0,3,1,23182.00,23182.00,,1,1,Low-value,New,0
12651,334,0,334,1,10266.00,10266.00,,0,0,Low-value,Churned,1
12652,331,9,322,2,72175.00,36087.50,9,0,0,Mid-value,Churned,1
12653,296,148,148,2,220985.00,110492.50,148,0,0,High-value,Churned,1
12654,295,285,10,5,46266.00,9253.20,71,1,2,Mid-value,Loyal,0
12656,242,225,17,8,343660.00,42957.50,32,1,2,High-value,Loyal,0
12657,78,67,11,5,87261.00,17452.20,17,3,4,Mid-value,Active,0
12658,18,0,18,1,56005.00,56005.00,,1,1,Mid-value,New,0
12659,29,0,29,1,7386.00,7386.00,,1,1,Low-value,New,0
12660,11,0,11,1,20460.00,20460.00,,1,1,Low-value,New,0
12662,373,373,0,12,329472.00,27456.00,34,3,4,High-value,Loyal,0
12664,322,314,8,10,439660.00,43966.00,35,2,5,High-value,Loyal,0
12665,331,7,324,2,4393.00,2196.50,7,0,0,Low-value,Churned,1
12666,359,0,359,1,-22744.00,-22744.00,,0,0,Low-value,Churned,1
12667,58,0,58,1,43113.00,43113.00,,0,1,Mid-value,New,0
12668,355,348,7,6,307754.00,51292.33,70,2,2,High-value,Loyal,0
12669,256,106,150,4,134943.00,33735.75,35,0,0,High-value,Churned,1
12670,232,222,10,6,271399.00,45233.17,44,3,3,High-value,Loyal,0
12672,329,0,329,1,22590.00,22590.00,,0,0,Low-value,Churned,1
12673,326,321,5,2,53519.00,26759.50,321,1,1,Mid-value,Loyal,0
12674,207,196,11,7,177484.00,25354.86,33,1,3,High-value,Loyal,0
12676,311,287,24,6,108245.00,18040.83,57,1,1,Mid-value,Loyal,0
12678,353,311,42,13,1586566.00,122043.54,26,0,2,High-value,At-risk,0
12679,283,231,52,9,87534.00,9726.00,29,0,4,Mid-value,At-risk,0
12680,113,113,0,4,74617.00,18654.25,38,1,1,Mid-value,Loyal,0
12681,367,353,14,27,1140581.00,42243.74,14,5,7,High-value,Loyal,0
12682,371,368,3,31,1079419.00,34819.97,12,6,9,High-value,Loyal,0
12683,365,361,4,20,677443.00,33872.15,19,2,4,High-value,Loyal,0
12684,213,206,7,7,204909.00,29272.71,34,2,2,High-value,Loyal,0
12685,93,65,28,6,252315.00,42052.50,13,1,3,High-value,Active,0
12686,371,0,371,1,7132.00,7132.00,,0,0,Low-value,Churned,1
12688,113,0,113,1,449167.00,449167.00,,0,0,High-value,Churned,1
12689,127,102,25,2,110100.00,55050.00,102,1,1,Mid-value,Loyal,0
12690,205,0,205,1,26355.00,26355.00,,0,0,Low-value,Churned,1
12691,357,329,28,6,92888.00,15481.33,66,1,2,Mid-value,Loyal,0
12693,319,199,120,6,62720.00,10453.33,40,0,0,Mid-value,Churned,1
12694,183,113,70,2,66357.00,33178.50,113,0,0,Mid-value,At-risk,0
12695,210,203,7,4,56680.00,14170.00,68,1,1,Mid-value,Loyal,0
12697,169,148,21,5,72968.00,14593.60,37,2,2,Mid-value,Loyal,0
12700,215,208,7,6,436912.00,72818.67,42,2,2,High-value,Loyal,0
12701,242,163,79,2,65839.00,32919.50,163,0,0,Mid-value,At-risk,0
12702,19,0,19,1,17850.00,17850.00,,1,1,Low-value,New,0
12703,71,7,64,2,23042.00,11521.00,7,0,0,Low-value,New,0
12704,169,162,7,10,168093.00,16809.30,18,4,6,High-value,Loyal,0
12705,357,342,15,14,591865.00,42276.07,26,3,4,High-value,Loyal,0
12707,291,0,291,1,47418.00,47418.00,,0,0,Mid-value,Churned,1
12708,368,339,29,16,229952.00,14372.00,23,1,3,High-value,Loyal,0
12709,366,363,3,26,841747.00,32374.88,15,2,6,High-value,Loyal,0
12710,201,105,96,4,96794.00,24198.50,35,0,0,Mid-value,Churned,1
12712,371,349,22,17,340085.00,20005.00,22,2,3,High-value,Loyal,0
12713,0,0,0,1,79509.00,79509.00,,1,1,Mid-value,New,0
12714,294,285,9,5,421512.00,84302.40,71,1,1,High-value,Loyal,0
12715,106,0,106,1,22636.00,22636.00,,0,0,Low-value,Churned,1
12716,133,130,3,2,94909.00,47454.50,130,1,1,Mid-value,Loyal,0
12717,245,94,151,3,78316.00,26105.33,47,0,0,Mid-value,Churned,1
12718,71,0,71,1,19127.00,19127.00,,0,0,Low-value,New,0
12719,65,60,5,3,48777.00,16259.00,30,1,2,Mid-value,Active,0
12720,369,367,2,29,467711.00,16127.97,13,4,7,High-value,Loyal,0
12721,365,334,31,7,221030.00,31575.71,56,0,1,High-value,At-risk,0
12722,150,65,85,6,87517.00,14586.17,13,0,0,Mid-value,At-risk,0
12723,65,62,3,5,69195.00,13839.00,16,3,3,Mid-value,Active,0
12724,332,327,5,4,91315.00,22828.75,109,1,1,Mid-value,Loyal,0
12725,371,0,371,1,36102.00,36102.00,,0,0,Mid-value,Churned,1
12726,357,329,28,7,234504.00,33500.57,55,1,1,High-value,Loyal,0
12727,320,310,10,9,319170.00,35463.33,39,1,1,High-value,Loyal,0
12728,332,261,71,4,67271.00,16817.75,87,0,0,Mid-value,At-risk,0
12729,113,0,113,1,32665.00,32665.00,,0,0,Mid-value,Churned,1
12731,364,341,23,14,1795866.00,128276.14,26,1,3,High-value,Loyal,0
12732,179,0,179,1,21844.00,21844.00,,0,0,Low-value,Churned,1
12733,234,0,234,1,36883.00,36883.00,,0,0,Mid-value,Churned,1
12734,352,0,352,1,11040.00,11040.00,,0,0,Low-value,Churned,1
12735,337,22,315,2,66383.00,33191.50,22,0,0,Mid-value,Churned,1
12736,332,0,332,1,14490.00,14490.00,,0,0,Low-value,Churned,1
12738,372,0,372,1,12223.00,12223.00,,0,0,Low-value,Churned,1
12739,99,21,78,2,96795.00,48397.50,21,0,0,Mid-value,New,0
12740,63,0,63,1,41230.00,41230.00,,0,0,Mid-value,New,0
12743,134,0,134,2,49630.00,24815.00,0,0,0,Mid-value,Churned,1
12744,318,267,51,10,819240.00,81924.00,30,0,3,High-value,At-risk,0
12747,369,367,2,11,412797.00,37527.00,37,2,2,High-value,Loyal,0
12748,373,373,0,224,2575119.00,11496.07,2,49,68,High-value,Loyal,0
12749,213,210,3,8,338760.00,42345.00,30,2,2,High-value,Loyal,0
12750,128,0,128,1,24528.00,24528.00,,0,0,Low-value,Churned,1
12752,81,0,81,1,399958.00,399958.00,,0,0,High-value,New,0
12753,362,359,3,11,1979929.00,179993.55,36,2,2,High-value,Loyal,0
12754,308,73,235,5,294912.00,58982.40,18,0,0,High-value,Churned,1
12755,365,116,249,4,220320.00,55080.00,39,0,0,High-value,Churned,1
12756,86,0,86,1,11208.00,11208.00,,0,0,Low-value,New,0
12757,211,196,15,19,410229.00,21591.00,11,3,4,High-value,Loyal,0
12758,276,160,116,2,270087.00,135043.50,160,0,0,High-value,Churned,1
12759,275,223,52,3,136737.00,45579.00,112,0,1,High-value,At-risk,0
12762,25,18,7,2,157974.00,78987.00,18,2,2,High-value,New,0
12763,369,231,138,2,49408.00,24704.00,231,0,0,Mid-value,Churned,1
12764,316,0,316,1,156806.00,156806.00,,0,0,High-value,Churned,1
12766,366,363,3,7,627962.00,89708.86,61,1,2,High-value,Loyal,0
12769,238,0,238,1,112092.00,112092.00,,0,0,Mid-value,Churned,1
12770,210,0,210,1,135145.00,135145.00,,0,0,High-value,Churned,1
12772,59,0,59,1,70473.00,70473.00,,0,1,Mid-value,New,0
12775,311,294,17,6,123379.00,20563.17,59,1,1,High-value,Loyal,0
12778,312,293,19,7,69434.00,9919.14,49,2,2,Mid-value,Loyal,0
12779,371,350,21,12,350150.00,29179.17,32,1,2,High-value,Loyal,0
12781,284,263,21,5,67208.00,13441.60,66,2,2,Mid-value,Loyal,0
12782,357,353,4,6,185122.00,30853.67,71,1,1,High-value,Loyal,0
12783,75,73,2,8,119239.00,14904.88,10,1,7,Mid-value,Active,0
12784,15,6,9,2,45290.00,22645.00,6,2,2,Mid-value,New,0
12785,364,362,2,2,21247.00,10623.50,362,1,1,Low-value,Loyal,0
12787,192,183,9,3,38131.00,12710.33,92,1,1,Mid-value,Loyal,0
12789,65,0,65,1,7700.00,7700.00,,0,0,Low-value,New,0
12790,192,0,192,1,24986.00,24986.00,,0,0,Low-value,Churned,1
12791,373,0,373,1,17775.00,17775.00,,0,0,Low-value,Churned,1
12792,256,0,256,1,34510.00,34510.00,,0,0,Mid-value,Churned,1
12793,371,37,334,2,46232.00,23116.00,37,0,0,Mid-value,Churned,1
12794,98,45,53,2,81505.00,40752.50,45,0,1,Mid-value,At-risk,0
12795,18,0,18,1,30430.00,30430.00,,1,1,Low-value,New,0
12797,365,5,360,3,16646.00,5548.67,3,0,0,Low-value,Churned,1
